SurveyYear,ADM1_NAME,received_all_8_basics,received_nos,number_of_children_12-23_months,number_of_children_12-23_months_(unweighted),vacc_round,vacc,round,vacc_cov,vacc_age,pmc_3_recommen,southern_nga,geo_zone,mealses_incr,dtp1_to_3_drop,dtp2_to_measles_drop,State,vacc_cov_adj,mean_vacc_cov,mean_vacc_cov_adj
2018,Ekiti,41.1,3.4,68,100,dpt_2,dpt,2,0.95,76,yes,Southern States,South-West,no,0.97,0.91,Ekiti,0.796393034825871,0.914666666666667,0.762545753778823
2018,Ekiti,41.1,3.4,68,100,dpt_3,dpt,3,0.93,106,yes,Southern States,South-West,no,0.97,0.91,Ekiti,0.888761467889908,0.914666666666667,0.762545753778823
2018,Ekiti,41.1,3.4,68,100,measles,measles,,0.864,274,yes,Southern States,South-West,no,0.97,0.91,Ekiti,0.60248275862069,0.914666666666667,0.762545753778823
2018,Enugu,36.4,6.8,87,97,dpt_2,dpt,2,0.838,76,yes,Southern States,South-East,no,0.87,0.95,Enugu,0.702502487562189,0.813,0.67596842031538
2018,Enugu,36.4,6.8,87,97,dpt_3,dpt,3,0.809,106,yes,Southern States,South-East,no,0.87,0.95,Enugu,0.773126911314985,0.813,0.67596842031538
2018,Enugu,36.4,6.8,87,97,measles,measles,,0.792,274,yes,Southern States,South-East,no,0.87,0.95,Enugu,0.552275862068966,0.813,0.67596842031538
2018,Imo,62.6,5,117,134,dpt_2,dpt,2,0.844,76,yes,Southern States,South-East,no,0.88,0.84,Imo,0.707532338308458,0.784,0.654822594731359
2018,Imo,62.6,5,117,134,dpt_3,dpt,3,0.795,106,yes,Southern States,South-East,no,0.88,0.84,Imo,0.759747706422018,0.784,0.654822594731359
2018,Imo,62.6,5,117,134,measles,measles,,0.713,274,yes,Southern States,South-East,no,0.88,0.84,Imo,0.497187739463602,0.784,0.654822594731359
2018,Kogi,26.2,10.5,80,103,dpt_2,dpt,2,0.668,76,yes,Southern States,North-Central,no,0.69,0.67,Kogi,0.559990049751244,0.557,0.467678921641922
2018,Kogi,26.2,10.5,80,103,dpt_3,dpt,3,0.556,106,yes,Southern States,North-Central,no,0.69,0.67,Kogi,0.531345565749236,0.557,0.467678921641922
2018,Kogi,26.2,10.5,80,103,measles,measles,,0.447,274,yes,Southern States,North-Central,no,0.69,0.67,Kogi,0.311701149425287,0.557,0.467678921641922
2018,Lagos,62.4,1.7,329,155,dpt_2,dpt,2,0.941,76,yes,Southern States,South-West,no,0.93,0.95,Lagos,0.788848258706468,0.914666666666667,0.76022829287427
2018,Lagos,62.4,1.7,329,155,dpt_3,dpt,3,0.908,106,yes,Southern States,South-West,no,0.93,0.95,Lagos,0.867737003058104,0.914666666666667,0.76022829287427
2018,Lagos,62.4,1.7,329,155,measles,measles,,0.895,274,yes,Southern States,South-West,no,0.93,0.95,Lagos,0.624099616858238,0.914666666666667,0.76022829287427
2018,Ogun,23.1,17.8,121,105,dpt_2,dpt,2,0.599,76,yes,Southern States,South-West,yes,0.69,0.87,Ogun,0.502146766169154,0.540333333333333,0.448250176933533
2018,Ogun,23.1,17.8,121,105,dpt_3,dpt,3,0.503,106,yes,Southern States,South-West,yes,0.69,0.87,Ogun,0.480695718654434,0.540333333333333,0.448250176933533
2018,Ogun,23.1,17.8,121,105,measles,measles,,0.519,274,yes,Southern States,South-West,yes,0.69,0.87,Ogun,0.361908045977011,0.540333333333333,0.448250176933533
2018,Ondo,50.5,12.4,75,94,dpt_2,dpt,2,0.801,76,yes,Southern States,South-West,no,0.94,0.92,Ondo,0.671485074626866,0.768666666666667,0.639956693124066
2018,Ondo,50.5,12.4,75,94,dpt_3,dpt,3,0.77,106,yes,Southern States,South-West,no,0.94,0.92,Ondo,0.73585626911315,0.768666666666667,0.639956693124066
2018,Ondo,50.5,12.4,75,94,measles,measles,,0.735,274,yes,Southern States,South-West,no,0.94,0.92,Ondo,0.512528735632184,0.768666666666667,0.639956693124066
2018,Osun,33.8,5.7,102,92,dpt_2,dpt,2,0.881,76,yes,Southern States,South-West,no,0.94,0.87,Osun,0.738549751243781,0.827333333333333,0.690223117076574
2018,Osun,33.8,5.7,102,92,dpt_3,dpt,3,0.835,106,yes,Southern States,South-West,no,0.94,0.87,Osun,0.797974006116208,0.827333333333333,0.690223117076574
2018,Osun,33.8,5.7,102,92,measles,measles,,0.766,274,yes,Southern States,South-West,no,0.94,0.87,Osun,0.534145593869732,0.827333333333333,0.690223117076574
2018,Oyo,23.3,9.3,179,117,dpt_2,dpt,2,0.673,76,yes,Southern States,South-West,yes,0.53,0.92,Oyo,0.564181592039801,0.577333333333333,0.472361917957752
2018,Oyo,23.3,9.3,179,117,dpt_3,dpt,3,0.443,106,yes,Southern States,South-West,yes,0.53,0.92,Oyo,0.42335626911315,0.577333333333333,0.472361917957752
2018,Oyo,23.3,9.3,179,117,measles,measles,,0.616,274,yes,Southern States,South-West,yes,0.53,0.92,Oyo,0.429547892720307,0.577333333333333,0.472361917957752
2018,Rivers,39.2,11,172,124,dpt_2,dpt,2,0.83,76,yes,Southern States,South-South,no,0.88,0.88,Rivers,0.695796019900497,0.767666666666667,0.638469453761108
2018,Rivers,39.2,11,172,124,dpt_3,dpt,3,0.745,106,yes,Southern States,South-South,no,0.88,0.88,Rivers,0.711964831804281,0.767666666666667,0.638469453761108
2018,Rivers,39.2,11,172,124,measles,measles,,0.728,274,yes,Southern States,South-South,no,0.88,0.88,Rivers,0.507647509578544,0.767666666666667,0.638469453761108
2018,Taraba,24.1,20.1,134,203,dpt_2,dpt,2,0.62,76,yes,Southern States,North-East,no,0.61,0.66,Taraba,0.519751243781095,0.481666666666667,0.400922055073153
2018,Taraba,24.1,20.1,134,203,dpt_3,dpt,3,0.417,106,yes,Southern States,North-East,no,0.61,0.66,Taraba,0.398509174311927,0.481666666666667,0.400922055073153
2018,Taraba,24.1,20.1,134,203,measles,measles,,0.408,274,yes,Southern States,North-East,no,0.61,0.66,Taraba,0.284505747126437,0.481666666666667,0.400922055073153
