State,vacc_age,vacc_cov,vacc_cov_adj,round,epi_based,round_new,round_fix,mean_vacc_cov,mean_vacc_cov_adj
Delta,548,0.733,0.511134099616858,7,0,7,,0.6946,0.484357088122606
Ebonyi,548,0.643,0.448375478927203,7,0,7,,0.6946,0.484357088122606
Edo,548,0.806,0.562038314176245,7,0,7,,0.6946,0.484357088122606
Ekiti,548,0.864,0.60248275862069,7,0,7,,0.6946,0.484357088122606
Enugu,548,0.792,0.552275862068966,7,0,7,,0.6946,0.484357088122606
Imo,548,0.713,0.497187739463602,7,0,7,,0.6946,0.484357088122606
Kogi,548,0.447,0.311701149425287,7,0,7,,0.6946,0.484357088122606
Lagos,548,0.895,0.624099616858238,7,0,7,,0.6946,0.484357088122606
Ogun,548,0.519,0.361908045977011,7,0,7,,0.6946,0.484357088122606
Ondo,548,0.735,0.512528735632184,7,0,7,,0.6946,0.484357088122606
Osun,548,0.766,0.534145593869732,7,0,7,,0.6946,0.484357088122606
Oyo,548,0.616,0.429547892720307,7,0,7,,0.6946,0.484357088122606
Rivers,548,0.728,0.507647509578544,7,0,7,,0.6946,0.484357088122606
Taraba,548,0.408,0.284505747126437,7,0,7,,0.6946,0.484357088122606
