SurveyYear,ADM1_NAME,received_all_8_basics,received_nos,number_of_children_12-23_months,number_of_children_12-23_months_(unweighted),vacc_round,vacc,round,value,vacc_age,pmc_3_recommen,southern_nga,geo_zone,mealses_incr,dtp1_to_3_drop,dtp2_to_measles_drop,State
2018,FCT Abuja,49.6,9.1,41,141,measles,measles,,73.9,274,yes,Northern States,North-Central,yes,0.86,0.89,FCT Abuja
2018,Gombe,18.2,34.4,128,238,bcg,bcg,,42.5,0,no,Northern States,North-East,yes,0.69,0.95,Gombe
2018,Gombe,18.2,34.4,128,238,dpt_1,dpt,1,37.3,61,no,Northern States,North-East,yes,0.69,0.95,Gombe
2018,Gombe,18.2,34.4,128,238,dpt_2,dpt,2,30.2,76,yes,Northern States,North-East,yes,0.69,0.95,Gombe
2018,Gombe,18.2,34.4,128,238,dpt_3,dpt,3,25.8,106,yes,Northern States,North-East,yes,0.69,0.95,Gombe
2018,Gombe,18.2,34.4,128,238,measles,measles,,28.8,274,yes,Northern States,North-East,yes,0.69,0.95,Gombe
2018,Imo,62.6,5,117,134,bcg,bcg,,92.7,0,no,Southern States,South-East,no,0.88,0.84,Imo
2018,Imo,62.6,5,117,134,dpt_1,dpt,1,90.8,61,no,Southern States,South-East,no,0.88,0.84,Imo
2018,Imo,62.6,5,117,134,dpt_2,dpt,2,84.4,76,yes,Southern States,South-East,no,0.88,0.84,Imo
2018,Imo,62.6,5,117,134,dpt_3,dpt,3,79.5,106,yes,Southern States,South-East,no,0.88,0.84,Imo
2018,Imo,62.6,5,117,134,measles,measles,,71.3,274,yes,Southern States,South-East,no,0.88,0.84,Imo
2018,Jigawa,23.8,20.3,246,250,bcg,bcg,,53.2,0,no,Northern States,North-West,yes,0.61,1.26,Jigawa
2018,Jigawa,23.8,20.3,246,250,dpt_1,dpt,1,58.9,61,no,Northern States,North-West,yes,0.61,1.26,Jigawa
2018,Jigawa,23.8,20.3,246,250,dpt_2,dpt,2,44.3,76,yes,Northern States,North-West,yes,0.61,1.26,Jigawa
2018,Jigawa,23.8,20.3,246,250,dpt_3,dpt,3,35.7,106,yes,Northern States,North-West,yes,0.61,1.26,Jigawa
2018,Jigawa,23.8,20.3,246,250,measles,measles,,55.7,274,yes,Northern States,North-West,yes,0.61,1.26,Jigawa
2018,Kaduna,21.8,40.2,362,227,bcg,bcg,,51.8,0,no,Northern States,North-West,yes,0.6,1.15,Kaduna
2018,Kaduna,21.8,40.2,362,227,dpt_1,dpt,1,53.5,61,no,Northern States,North-West,yes,0.6,1.15,Kaduna
2018,Kaduna,21.8,40.2,362,227,dpt_2,dpt,2,37,76,yes,Northern States,North-West,yes,0.6,1.15,Kaduna
2018,Kaduna,21.8,40.2,362,227,dpt_3,dpt,3,31.9,106,yes,Northern States,North-West,yes,0.6,1.15,Kaduna
2018,Kaduna,21.8,40.2,362,227,measles,measles,,42.4,274,yes,Northern States,North-West,yes,0.6,1.15,Kaduna
2018,Kano,34.3,8.8,431,328,bcg,bcg,,61.2,0,no,Northern States,North-West,yes,0.77,1.1,Kano
2018,Kano,34.3,8.8,431,328,dpt_1,dpt,1,59.8,61,no,Northern States,North-West,yes,0.77,1.1,Kano
2018,Kano,34.3,8.8,431,328,dpt_2,dpt,2,51,76,yes,Northern States,North-West,yes,0.77,1.1,Kano
2018,Kano,34.3,8.8,431,328,dpt_3,dpt,3,45.9,106,yes,Northern States,North-West,yes,0.77,1.1,Kano
2018,Kano,34.3,8.8,431,328,measles,measles,,56.1,274,yes,Northern States,North-West,yes,0.77,1.1,Kano
2018,Katsina,21.2,32.9,392,257,bcg,bcg,,46.4,0,no,Northern States,North-West,yes,0.79,0.9,Katsina
2018,Katsina,21.2,32.9,392,257,dpt_1,dpt,1,42.5,61,no,Northern States,North-West,yes,0.79,0.9,Katsina
2018,Katsina,21.2,32.9,392,257,dpt_2,dpt,2,38.6,76,yes,Northern States,North-West,yes,0.79,0.9,Katsina
2018,Katsina,21.2,32.9,392,257,dpt_3,dpt,3,33.7,106,yes,Northern States,North-West,yes,0.79,0.9,Katsina
2018,Katsina,21.2,32.9,392,257,measles,measles,,34.6,274,yes,Northern States,North-West,yes,0.79,0.9,Katsina
2018,Kebbi,6.3,20.6,207,237,bcg,bcg,,25.6,0,no,Northern States,North-West,yes,0.35,1.78,Kebbi
2018,Kebbi,6.3,20.6,207,237,dpt_1,dpt,1,30,61,no,Northern States,North-West,yes,0.35,1.78,Kebbi
2018,Kebbi,6.3,20.6,207,237,dpt_2,dpt,2,18.3,76,yes,Northern States,North-West,yes,0.35,1.78,Kebbi
2018,Kebbi,6.3,20.6,207,237,dpt_3,dpt,3,10.6,106,yes,Northern States,North-West,yes,0.35,1.78,Kebbi
2018,Kebbi,6.3,20.6,207,237,measles,measles,,32.6,274,yes,Northern States,North-West,yes,0.35,1.78,Kebbi
2018,Kogi,26.2,10.5,80,103,bcg,bcg,,80,0,no,Southern States,North-Central,no,0.69,0.67,Kogi
2018,Kogi,26.2,10.5,80,103,dpt_1,dpt,1,80.1,61,no,Southern States,North-Central,no,0.69,0.67,Kogi
2018,Kogi,26.2,10.5,80,103,dpt_2,dpt,2,66.8,76,yes,Southern States,North-Central,no,0.69,0.67,Kogi
2018,Kogi,26.2,10.5,80,103,dpt_3,dpt,3,55.6,106,yes,Southern States,North-Central,no,0.69,0.67,Kogi
2018,Kogi,26.2,10.5,80,103,measles,measles,,44.7,274,yes,Southern States,North-Central,no,0.69,0.67,Kogi
2018,Kwara,29.3,33.2,105,130,bcg,bcg,,63.5,0,no,Northern States,North-Central,no,0.9,0.9,Kwara
2018,Kwara,29.3,33.2,105,130,dpt_1,dpt,1,60.8,61,no,Northern States,North-Central,no,0.9,0.9,Kwara
2018,Kwara,29.3,33.2,105,130,dpt_2,dpt,2,55.9,76,yes,Northern States,North-Central,no,0.9,0.9,Kwara
2018,Kwara,29.3,33.2,105,130,dpt_3,dpt,3,54.5,106,yes,Northern States,North-Central,no,0.9,0.9,Kwara
2018,Kwara,29.3,33.2,105,130,measles,measles,,50.5,274,yes,Northern States,North-Central,no,0.9,0.9,Kwara
2018,Lagos,62.4,1.7,329,155,bcg,bcg,,97.3,0,no,Southern States,South-West,no,0.93,0.95,Lagos
2018,Lagos,62.4,1.7,329,155,dpt_1,dpt,1,97.3,61,no,Southern States,South-West,no,0.93,0.95,Lagos
2018,Lagos,62.4,1.7,329,155,dpt_2,dpt,2,94.1,76,yes,Southern States,South-West,no,0.93,0.95,Lagos
